Channel_Name,Channel_Label,Scale_Factor,Offset,Type,Chart
1TC1,1 Foot,1.8,32,Temperature,1TC
1TC3,3 Foot,1.8,32,Temperature,1TC
1TC5,5 Foot,1.8,32,Temperature,1TC
1TC7,7 Foot,1.8,32,Temperature,1TC
2TC1,1 Foot,1.8,32,Temperature,2TC
2TC3,3 Foot,1.8,32,Temperature,2TC
2TC5,5 Foot,1.8,32,Temperature,2TC
2TC7,7 Foot,1.8,32,Temperature,2TC
3TC1,1 Foot,1.8,32,Temperature,3TC
3TC3,3 Foot,1.8,32,Temperature,3TC
3TC5,5 Foot,1.8,32,Temperature,3TC
3TC7,7 Foot,1.8,32,Temperature,3TC
4TC1,1 Foot,1.8,32,Temperature,4TC
4TC3,3 Foot,1.8,32,Temperature,4TC
4TC5,5 Foot,1.8,32,Temperature,4TC
4TC7,7 Foot,1.8,32,Temperature,4TC
5TC1,1 Foot,1.8,32,Temperature,5TC
5TC3,3 Foot,1.8,32,Temperature,5TC
5TC5,5 Foot,1.8,32,Temperature,5TC
5TC7,7 Foot,1.8,32,Temperature,5TC
6TC1,1 Foot,1.8,32,Temperature,6TC
6TC3,3 Foot,1.8,32,Temperature,6TC
6TC5,5 Foot,1.8,32,Temperature,6TC
6TC7,7 Foot,1.8,32,Temperature,6TC
7TC1,1 Foot,1.8,32,Temperature,7TC
7TC3,3 Foot,1.8,32,Temperature,7TC
7TC5,5 Foot,1.8,32,Temperature,7TC
7TC7,7 Foot,1.8,32,Temperature,7TC
HF1V,A100 Floor Heat Flux,1842,0,HeatFlux,Heat_Flux_A
HF2V,A102 Floor Heat Flux,1878,0,HeatFlux,Heat_Flux_A
G1O2V,C102 Oxygen,5,0,Gas,Gas_A
G1COV,C102 Carbon Monoxide,10000,0,Gas,Carbon_Monoxide_A
G1CO2V,C102 Carbon Dioxide,5,0,Gas,Gas_A
G2O2V,C103 Oxygen,5,0,Gas,Gas_A
G2COV,C103 Carbon Monoxide,10000,0,Gas,Carbon_Monoxide_A
G2CO2V,C103 Carbon Dioxide,5,0,Gas,Gas_A
