Event,Time,From Background,From Ignition
Background,6/28/2016 8:50,,
Ignition Smoke Barrells,6/28/2016 8:54,0:04:00,0:00:00
Ignition Rooms,6/28/2016 9:04,0:14:00,0:10:00
Student Arrival,6/28/2016 9:06,0:16:32,0:12:32
Entry,6/28/2016 9:08,0:18:32,0:14:32
Victim 1 Out,6/28/2016 9:09,0:19:50,0:15:50
Victim 2 Out,6/28/2016 9:12,0:22:54,0:18:54
Exit Prop,6/28/2016 9:16,0:26:04,0:22:04
Engine to Research,6/28/2016 9:17,0:27:25,0:23:25
Truck to Research,6/28/2016 9:17,0:27:45,0:23:45
End of Experiment,6/28/2016 9:20,0:30:00,0:26:00
