Time, HF1, HF2, TC1
06/29/16_08:17:46, 0.000000, 0.000000, 17.839694
06/29/16_08:17:47, 0.000000, -0.000188, 15.884662
06/29/16_08:17:49, 0.000000, 0.000000, 16.862178
06/29/16_08:17:50, 0.000000, 0.000000, 16.862178
06/29/16_08:17:52, 0.000000, 0.000000, 16.862178
06/29/16_08:17:53, 0.000000, 0.000000, 16.862178
06/29/16_08:17:55, 0.000000, 0.000000, 17.839694
06/29/16_08:17:57, 0.000000, 0.000000, 16.862178
06/29/16_08:17:59, 0.000000, 0.000000, 16.862178
06/29/16_08:18:00, 0.000000, 0.000000, 17.839694
06/29/16_08:18:02, 0.000000, 0.000000, 16.862178
06/29/16_08:18:03, 0.000000, 0.000000, 15.884662
06/29/16_08:18:05, 0.000000, 0.000000, 16.862178
06/29/16_08:18:07, 0.000000, 0.000000, 15.884662
06/29/16_08:18:08, 0.000000, 0.000000, 16.862178
06/29/16_08:18:10, 0.000000, 0.000000, 13.929630
06/29/16_08:18:13, 0.000000, 0.000000, 16.862178
06/29/16_08:18:16, 0.000000, 0.000000, 15.884662
06/29/16_08:18:17, 0.000000, 0.000000, 12.952114
06/29/16_08:18:19, 0.000000, 0.000000, 16.862178
06/29/16_08:18:21, 0.000000, 0.000000, 15.884662
06/29/16_08:18:22, 0.000000, 0.000000, 16.862178
06/29/16_08:18:24, 0.000000, 0.000000, 17.839694
06/29/16_08:18:25, 0.000000, 0.000000, 15.884662
06/29/16_08:18:27, 0.000000, 0.000000, 15.884662
06/29/16_08:18:29, 0.000000, 0.000000, 16.862178
06/29/16_08:18:30, 0.000000, 0.000000, 16.862178
06/29/16_08:18:32, 0.000000, 0.000000, 15.884662
06/29/16_08:18:34, 0.000000, 0.000000, 16.862178
06/29/16_08:18:35, 0.000000, 0.000000, 15.884662
06/29/16_08:18:37, 0.000000, 0.000000, 15.884662
06/29/16_08:18:38, 0.000000, 0.000000, 16.862178
06/29/16_08:18:39, 0.000000, 0.000000, 15.884662
06/29/16_08:18:41, 0.000000, 0.000000, 15.884662
06/29/16_08:18:42, 0.000000, 0.000000, 16.862178
06/29/16_08:18:44, 0.000000, 0.000000, 16.862178
06/29/16_08:18:45, 0.000000, 0.000000, 16.862178
06/29/16_08:18:47, 0.000000, 0.000000, 16.862178
06/29/16_08:18:49, 0.000000, 0.000000, 16.862178
06/29/16_08:18:50, 0.000000, 0.000000, 16.862178
06/29/16_08:18:52, 0.000000, 0.000000, 16.862178
06/29/16_08:18:53, 0.000000, 0.000000, 15.884662
06/29/16_08:18:54, 0.000000, 0.000000, 17.839694
06/29/16_08:18:56, 0.000000, 0.000000, 15.884662
06/29/16_08:18:57, 0.000000, 0.000000, 15.884662
06/29/16_08:18:59, 0.000000, 0.000000, 14.907146
06/29/16_08:19:00, 0.000000, 0.000000, 15.884662
06/29/16_08:19:02, 0.000000, 0.000000, 15.884662
06/29/16_08:19:03, 0.000000, 0.000000, 15.884662
06/29/16_08:19:05, 0.000000, 0.000000, 16.862178
06/29/16_08:19:07, 0.000000, 0.000000, 16.862178
06/29/16_08:19:08, 0.000000, 0.000000, 16.862178
06/29/16_08:19:10, 0.000000, 0.000000, 14.907146
06/29/16_08:19:11, 0.000000, 0.000000, 15.884662
06/29/16_08:19:13, 0.000000, 0.000000, 16.862178
06/29/16_08:19:14, 0.000000, 0.000000, 16.862178
06/29/16_08:19:16, 0.000000, 0.000000, 16.862178
06/29/16_08:19:17, 0.000000, 0.000000, 17.839694
06/29/16_08:19:19, 0.000000, 0.000000, 15.884662
06/29/16_08:19:20, 0.000000, 0.000188, 15.884662
06/29/16_08:19:22, 0.000000, 0.000000, 15.884662
06/29/16_08:19:23, 0.000000, 0.000000, 15.884662
06/29/16_08:19:25, 0.000000, 0.000000, 14.907146
06/29/16_08:19:26, 0.000000, 0.000000, 15.884662
06/29/16_08:19:28, 0.000000, 0.000000, 15.884662
06/29/16_08:19:29, 0.000000, 0.000000, 15.884662
06/29/16_08:19:31, 0.000000, 0.000000, 10.997057
06/29/16_08:19:32, 0.000000, 0.000000, 15.884662
06/29/16_08:19:34, 0.000000, 0.000000, 16.862178
06/29/16_08:19:35, 0.000000, 0.000188, 16.862178
06/29/16_08:19:37, 0.000188, 0.000188, 16.862178
06/29/16_08:19:38, 0.000188, 0.000000, 17.839694
06/29/16_08:19:40, 0.000188, 0.000000, 16.862178
06/29/16_08:19:41, 0.000375, 0.000000, 15.884662
06/29/16_08:19:43, 0.000375, 0.000000, 16.862178
06/29/16_08:19:44, 0.000375, 0.000000, 15.884662
06/29/16_08:19:46, 0.000188, 0.000000, 16.862178
06/29/16_08:19:47, 0.000000, 0.000000, 16.862178
06/29/16_08:19:49, 0.000000, 0.000000, 16.862178
06/29/16_08:19:51, 0.000000, 0.000000, 16.862178
06/29/16_08:19:52, 0.000000, 0.000000, 15.884662
06/29/16_08:19:54, 0.000000, 0.000000, 15.884662
06/29/16_08:19:55, 0.000000, 0.000000, 15.884662
06/29/16_08:19:57, 0.000000, 0.000000, 15.884662
06/29/16_08:19:59, 0.000000, 0.000000, 15.884662
06/29/16_08:20:00, 0.000000, 0.000000, 17.839694
06/29/16_08:20:02, 0.000000, 0.000000, 15.884662
06/29/16_08:20:03, 0.000000, 0.000000, 15.884662
06/29/16_08:20:05, 0.000000, 0.000000, 15.884662
06/29/16_08:20:06, 0.000000, 0.000000, 16.862178
06/29/16_08:20:08, 0.000000, 0.000000, 15.884662
06/29/16_08:20:09, 0.000000, 0.000000, 15.884662
06/29/16_08:20:11, 0.000000, 0.000000, 15.884662
06/29/16_08:20:12, 0.000000, 0.000000, 16.862178
