Time, HF1, HF2, TC1
06/29/16_14:11:48, 0.000000, 0.000000, 26.637340
06/29/16_14:11:50, 0.000000, 0.000000, 26.637340
06/29/16_14:11:51, 0.000000, 0.000000, 24.682308
06/29/16_14:11:53, 0.000000, 0.000000, 27.614856
06/29/16_14:11:54, 0.000000, 0.000000, 25.659824
06/29/16_14:11:56, 0.000000, 0.000000, 25.659824
06/29/16_14:11:57, 0.000000, 0.000000, 24.682308
06/29/16_14:11:59, 0.000000, 0.000000, 25.659824
06/29/16_14:12:00, 0.000000, 0.000000, 25.659824
06/29/16_14:12:02, 0.000000, 0.000000, 25.659824
06/29/16_14:12:03, 0.000000, 0.000000, 25.659824
06/29/16_14:12:05, 0.000000, 0.000000, 25.659824
06/29/16_14:12:06, 0.000000, 0.000000, 24.682308
06/29/16_14:12:07, 0.000000, 0.000000, 26.637340
06/29/16_14:12:09, 0.000000, 0.000000, 26.637340
06/29/16_14:12:10, 0.000000, 0.000000, 22.727275
06/29/16_14:12:12, 0.000000, 0.000000, 25.659824
06/29/16_14:12:14, 0.000000, 0.000000, 25.659824
06/29/16_14:12:15, 0.000000, 0.000000, 25.659824
06/29/16_14:12:16, 0.000000, 0.000000, 24.682308
06/29/16_14:12:18, 0.000000, 0.000000, 25.659824
06/29/16_14:12:20, 0.000000, 0.000000, 26.637340
06/29/16_14:12:21, 0.000000, 0.000000, 25.659824
06/29/16_14:12:23, 0.000000, 0.000000, 24.682308
06/29/16_14:12:24, 0.000000, 0.000000, 24.682308
06/29/16_14:12:26, 0.000000, 0.000000, 25.659824
06/29/16_14:12:27, 0.000000, 0.000000, 24.682308
06/29/16_14:12:28, 0.000000, 0.000000, 24.682308
06/29/16_14:12:30, 0.000000, 0.000000, 24.682308
06/29/16_14:12:31, 0.000000, 0.000000, 24.682308
06/29/16_14:12:33, 0.000000, 0.000000, 25.659824
06/29/16_14:12:34, 0.000000, 0.000000, 24.682308
06/29/16_14:12:36, 0.000000, 0.000000, 25.659824
06/29/16_14:12:37, 0.000000, 0.000000, 23.704792
06/29/16_14:12:39, 0.000000, 0.000000, 25.659824
06/29/16_14:12:40, 0.000000, 0.000000, 25.659824
06/29/16_14:12:42, 0.000000, 0.000000, 26.637340
06/29/16_14:12:43, 0.000000, 0.000000, 23.704792
06/29/16_14:12:45, 0.000000, 0.000000, 25.659824
06/29/16_14:12:46, 0.000000, 0.000000, 24.682308
06/29/16_14:12:48, 0.000000, 0.000000, 25.659824
06/29/16_14:12:50, 0.000000, 0.000000, 22.727275
06/29/16_14:12:51, 0.000000, 0.000000, 24.682308
06/29/16_14:12:53, 0.000000, 0.000000, 25.659824
06/29/16_14:12:54, 0.000000, 0.000000, 24.682308
06/29/16_14:12:56, 0.000000, 0.000000, 25.659824
06/29/16_14:12:57, 0.000000, 0.000000, 24.682308
06/29/16_14:12:59, 0.000000, 0.000000, 24.682308
06/29/16_14:13:00, 0.000000, 0.000000, 24.682308
06/29/16_14:13:02, 0.000000, 0.000000, 21.749759
06/29/16_14:13:03, 0.000000, 0.000000, 23.704792
06/29/16_14:13:05, 0.000000, 0.000000, 24.682308
06/29/16_14:13:06, 0.000000, 0.000000, 24.682308
06/29/16_14:13:08, 0.000000, 0.000000, 25.659824
06/29/16_14:13:09, 0.000000, 0.000000, 24.682308
06/29/16_14:13:11, 0.000000, 0.000000, 26.637340
06/29/16_14:13:12, 0.000000, 0.000000, 25.659824
06/29/16_14:13:14, 0.000000, 0.000000, 24.682308
06/29/16_14:13:15, 0.000000, 0.000000, 25.659824
06/29/16_14:13:17, 0.000000, 0.000000, 24.682308
06/29/16_14:13:18, 0.000000, 0.000000, 25.659824
06/29/16_14:13:20, 0.000000, 0.000000, 25.659824
06/29/16_14:13:21, 0.000000, 0.000000, 25.659824
06/29/16_14:13:23, 0.000000, 0.000000, 25.659824
06/29/16_14:13:24, 0.000000, 0.000000, 25.659824
06/29/16_14:13:26, 0.000000, 0.000000, 25.659824
06/29/16_14:13:27, 0.000000, 0.000000, 25.659824
06/29/16_14:13:29, 0.000000, 0.000000, 25.659824
06/29/16_14:13:30, 0.000000, 0.000000, 24.682308
06/29/16_14:13:32, 0.000000, 0.000000, 24.682308
06/29/16_14:13:33, 0.000000, 0.000000, 23.704792
06/29/16_14:13:35, 0.000000, 0.000000, 21.749759
06/29/16_14:13:36, 0.000000, 0.000000, 25.659824
06/29/16_14:13:38, 0.000000, 0.000000, 25.659824
06/29/16_14:13:39, 0.000000, 0.000000, 24.682308
06/29/16_14:13:41, 0.000000, 0.000000, 25.659824
06/29/16_14:13:43, 0.000000, 0.000000, 25.659824
06/29/16_14:13:44, 0.000000, 0.000000, 23.704792
06/29/16_14:13:46, 0.000000, 0.000000, 24.682308
06/29/16_14:13:47, 0.000000, 0.000000, 25.659824
06/29/16_14:13:48, 0.000000, 0.000000, 26.637340
06/29/16_14:13:50, 0.000000, 0.000000, 26.637340
06/29/16_14:13:51, 0.000000, 0.000000, 25.659824
06/29/16_14:13:53, 0.000000, 0.000000, 25.659824
06/29/16_14:13:54, 0.000000, 0.000000, 24.682308
06/29/16_14:13:56, 0.000000, 0.000188, 24.682308
06/29/16_14:13:57, 0.000000, 0.000000, 25.659824
06/29/16_14:13:59, 0.000000, 0.000000, 25.659824
06/29/16_14:14:01, 0.000000, 0.000000, 25.659824
06/29/16_14:14:02, 0.000000, 0.000000, 24.682308
06/29/16_14:14:03, 0.000188, 0.000000, 25.659824
06/29/16_14:14:05, 0.000000, 0.000000, 25.659824
06/29/16_14:14:06, 0.000000, 0.000000, 24.682308
06/29/16_14:14:08, 0.000000, 0.000000, 26.637340
06/29/16_14:14:09, 0.000000, 0.000000, 25.659824
06/29/16_14:14:11, 0.000000, 0.000000, 25.659824
06/29/16_14:14:12, 0.000000, 0.000000, 25.659824
06/29/16_14:14:14, 0.000000, 0.000000, 25.659824
06/29/16_14:14:15, 0.000000, 0.000000, 25.659824
06/29/16_14:14:17, 0.000000, 0.000000, 25.659824
06/29/16_14:14:18, 0.000000, 0.000000, 25.659824
06/29/16_14:14:20, 0.000000, 0.000000, 25.659824
06/29/16_14:14:21, 0.000000, 0.000000, 25.659824
06/29/16_14:14:23, 0.000000, 0.000000, 23.704792
06/29/16_14:14:24, 0.000000, 0.000000, 25.659824
06/29/16_14:14:26, 0.000000, 0.000000, 25.659824
06/29/16_14:14:27, 0.000000, 0.000000, 25.659824
06/29/16_14:14:29, 0.000000, 0.000000, 25.659824
06/29/16_14:14:30, 0.000000, 0.000000, 26.637340
06/29/16_14:14:32, 0.000000, 0.000000, 25.659824
06/29/16_14:14:33, 0.000000, 0.000000, 25.659824
06/29/16_14:14:35, 0.000000, 0.000000, 25.659824
06/29/16_14:14:36, 0.000000, 0.000000, 25.659824
06/29/16_14:14:38, 0.000000, 0.000000, 25.659824
06/29/16_14:14:39, 0.000000, 0.000000, 24.682308
06/29/16_14:14:41, 0.000000, 0.000000, 25.659824
06/29/16_14:14:42, 0.000000, 0.000000, 24.682308
06/29/16_14:14:44, 0.000000, 0.000000, 25.659824
06/29/16_14:14:45, 0.000000, 0.000000, 25.659824
06/29/16_14:14:47, 0.000000, 0.000000, 25.659824
06/29/16_14:14:48, 0.000000, 0.000000, 25.659824
06/29/16_14:14:50, 0.000000, 0.000000, 25.659824
06/29/16_14:14:51, 0.000000, 0.000000, 25.659824
06/29/16_14:14:53, 0.000000, 0.000000, 26.637340
06/29/16_14:14:54, 0.000000, 0.000000, 27.614856
06/29/16_14:14:56, 0.000000, 0.000000, 25.659824
06/29/16_14:14:57, 0.000000, 0.000000, 25.659824
06/29/16_14:14:59, 0.000000, 0.000000, 26.637340
06/29/16_14:15:00, 0.000000, 0.000000, 25.659824
06/29/16_14:15:02, 0.000000, 0.000000, 25.659824
06/29/16_14:15:03, 0.000000, 0.000000, 25.659824
06/29/16_14:15:05, 0.000000, 0.000000, 25.659824
06/29/16_14:15:06, 0.000000, 0.000000, 24.682308
06/29/16_14:15:08, 0.000000, 0.000000, 25.659824
06/29/16_14:15:09, 0.000000, 0.000000, 23.704792
06/29/16_14:15:11, 0.000000, 0.000000, 24.682308
06/29/16_14:15:12, 0.000000, 0.000000, 24.682308
06/29/16_14:15:14, 0.000000, 0.000000, 24.682308
06/29/16_14:15:15, 0.000000, 0.000000, 24.682308
06/29/16_14:15:17, 0.000000, 0.000000, 24.682308
06/29/16_14:15:18, 0.000000, 0.000000, 25.659824
06/29/16_14:15:20, 0.000188, 0.000188, 23.704792
06/29/16_14:15:21, 0.000188, 0.000375, 24.682308
06/29/16_14:15:22, 0.000000, 0.000375, 24.682308
06/29/16_14:15:24, 0.000000, 0.000188, 23.704792
06/29/16_14:15:26, 0.000000, 0.000188, 25.659824
06/29/16_14:15:27, 0.000000, 0.000000, 23.704792
06/29/16_14:15:29, 0.000000, 0.000000, 23.704792
06/29/16_14:15:30, 0.000000, 0.000000, 24.682308
06/29/16_14:15:32, 0.000000, 0.000000, 24.682308
06/29/16_14:15:34, 0.000000, 0.000000, 24.682308
06/29/16_14:15:35, 0.000000, 0.000000, 25.659824
06/29/16_14:15:37, 0.000000, 0.000000, 25.659824
06/29/16_14:15:38, 0.000000, 0.000000, 27.614856
06/29/16_14:15:40, 0.000000, 0.000000, 26.637340
06/29/16_14:15:41, 0.000000, 0.000000, 25.659824
06/29/16_14:15:43, 0.000000, 0.000000, 24.682308
06/29/16_14:15:44, 0.000000, 0.000000, 24.682308
06/29/16_14:15:46, 0.000000, 0.000000, 24.682308
06/29/16_14:15:48, 0.000000, 0.000000, 23.704792
06/29/16_14:15:49, 0.000000, 0.000000, 23.704792
06/29/16_14:15:50, 0.000000, 0.000000, 23.704792
06/29/16_14:15:52, 0.000000, 0.000000, 23.704792
06/29/16_14:15:54, 0.000000, 0.000000, 21.749759
06/29/16_14:15:55, 0.000000, 0.000000, 24.682308
06/29/16_14:15:57, 0.000000, 0.000000, 24.682308
06/29/16_14:15:58, 0.000000, 0.000000, 20.772243
06/29/16_14:16:00, 0.000000, 0.000000, 23.704792
06/29/16_14:16:01, 0.000000, 0.000000, 21.749759
06/29/16_14:16:02, 0.000000, 0.000000, 23.704792
06/29/16_14:16:04, 0.000000, 0.000000, 23.704792
06/29/16_14:16:06, 0.000000, 0.000000, 23.704792
06/29/16_14:16:07, 0.000000, 0.000000, 23.704792
06/29/16_14:16:08, 0.000000, 0.000000, 22.727275
06/29/16_14:16:10, 0.000000, 0.000000, 22.727275
06/29/16_14:16:12, 0.000000, 0.000000, 22.727275
06/29/16_14:16:13, 0.000000, 0.000000, 22.727275
06/29/16_14:16:15, 0.000000, 0.000188, 22.727275
06/29/16_14:16:16, 0.000000, 0.000188, 24.682308
06/29/16_14:16:18, 0.000188, 0.000188, 24.682308
06/29/16_14:16:19, 0.000000, 0.000188, 23.704792
06/29/16_14:16:20, 0.000000, 0.000000, 23.704792
06/29/16_14:16:22, 0.000000, 0.000188, 24.682308
06/29/16_14:16:23, 0.000000, 0.000000, 23.704792
06/29/16_14:16:25, 0.000000, 0.000000, 23.704792
06/29/16_14:16:26, 0.000000, 0.000000, 22.727275
06/29/16_14:16:28, 0.000000, 0.000000, 23.704792
06/29/16_14:16:29, 0.000000, 0.000000, 22.727275
06/29/16_14:16:31, 0.000000, 0.000000, 21.749759
06/29/16_14:16:33, 0.000000, 0.000000, 23.704792
06/29/16_14:16:34, 0.000000, 0.000000, 23.704792
06/29/16_14:16:35, 0.000000, 0.000000, 23.704792
06/29/16_14:16:37, 0.000000, 0.000188, 21.749759
06/29/16_14:16:38, 0.000000, 0.000000, 23.704792
06/29/16_14:16:40, 0.000000, 0.000000, 23.704792
06/29/16_14:16:41, 0.000000, 0.000000, 22.727275
06/29/16_14:16:43, 0.000000, 0.000000, 23.704792
06/29/16_14:16:44, 0.000000, 0.000000, 23.704792
06/29/16_14:16:46, 0.000000, 0.000000, 21.749759
06/29/16_14:16:47, 0.000000, 0.000000, 22.727275
06/29/16_14:16:49, 0.000000, 0.000000, 22.727275
06/29/16_14:16:51, 0.000000, 0.000000, 23.704792
06/29/16_14:16:52, 0.000000, 0.000000, 23.704792
06/29/16_14:16:53, 0.000000, 0.000188, 23.704792
06/29/16_14:16:55, 0.000000, 0.000000, 22.727275
06/29/16_14:16:56, 0.000000, 0.000000, 24.682308
06/29/16_14:16:58, 0.000000, 0.000000, 23.704792
06/29/16_14:17:00, 0.000000, 0.000000, 23.704792
06/29/16_14:17:01, 0.000000, 0.000000, 23.704792
06/29/16_14:17:03, 0.000000, 0.000000, 22.727275
06/29/16_14:17:04, 0.000000, 0.000000, 24.682308
06/29/16_14:17:06, 0.000000, 0.000000, 24.682308
06/29/16_14:17:07, 0.000000, 0.000000, 23.704792
06/29/16_14:17:09, 0.000000, 0.000000, 23.704792
