Event,Time,
Background,6/26/16 9:18:00,
Ignition Smoke Barrells,6/26/16 9:20:00,0:02:00
Ignition Rear Room,6/26/16 9:26:00,0:08:00
Ignition Front Room,6/26/16 9:26:57,0:08:57
Flames Across OSB,6/26/16 9:29:00,0:11:00
Student Dispatch,6/26/16 9:29:28,0:11:28
Student Arrival,6/26/16 9:31:45,0:13:45
Entry,6/26/16 9:34:12,0:16:12
Victim 1 Out,6/26/16 9:37:05,0:19:05
Victim 2 Out,6/26/16 9:39:40,0:21:40
Exit Building,6/26/16 9:42:40,0:24:40
End of Exercise,6/26/16 9:44:00,0:26:00
Students to Research,6/26/16 9:46:00,0:28:00
End Experiment,6/26/16 9:51:00,0:33:00
