Time, HF1, HF2, TC1
06/26/16_09:12:43, 0.000000, 0.000000, -243.157394
06/26/16_09:12:45, 0.000000, 0.000000, -248.044967
06/26/16_09:12:46, 0.000000, 0.000000, -248.044967
06/26/16_09:12:48, 0.000000, 0.000000, -248.044967
06/26/16_09:12:50, 0.000000, 0.000000, -249.022491
06/26/16_09:12:51, 0.000000, 0.000000, -248.044967
06/26/16_09:12:53, 0.000000, 0.000000, -249.022491
06/26/16_09:12:55, 0.000000, 0.000000, -248.044967
06/26/16_09:12:56, 0.000000, 0.000000, -249.022491
06/26/16_09:12:58, 0.000000, 0.000000, -247.067459
06/26/16_09:13:00, 0.000000, 0.000000, -249.022491
06/26/16_09:13:01, 0.000000, 0.000000, -248.044967
06/26/16_09:13:03, 0.000188, 0.000000, -248.044967
06/26/16_09:13:05, 0.000000, 0.000000, -248.044967
06/26/16_09:13:06, 0.000000, 0.000000, -248.044967
06/26/16_09:13:08, 0.000000, 0.000000, -248.044967
06/26/16_09:13:10, 0.000000, 0.000000, -249.022491
06/26/16_09:13:12, 0.000000, 0.000000, -248.044967
06/26/16_09:13:13, 0.000000, 0.000000, -248.044967
06/26/16_09:13:15, 0.000000, 0.000000, -249.022491
06/26/16_09:13:17, 0.000000, 0.000000, -248.044967
06/26/16_09:13:18, 0.000000, 0.000000, -249.022491
06/26/16_09:13:20, 0.000000, 0.000000, -249.022491
06/26/16_09:13:22, 0.000000, 0.000000, -249.022491
06/26/16_09:13:23, 0.000000, 0.000000, -249.022491
06/26/16_09:13:25, 0.000000, 0.000000, -249.022491
06/26/16_09:13:26, 0.000000, 0.000000, -249.022491
06/26/16_09:13:28, 0.000000, 0.000000, -250.000000
06/26/16_09:13:30, 0.000000, 0.000000, -249.022491
06/26/16_09:13:31, 0.000000, 0.000000, -249.022491
06/26/16_09:13:33, 0.000000, 0.000000, -249.022491
06/26/16_09:13:35, 0.000000, 0.000000, -248.044967
06/26/16_09:13:37, 0.000000, 0.000000, -247.067459
06/26/16_09:13:38, 0.000000, 0.000000, -250.000000
06/26/16_09:13:40, 0.000000, 0.000000, -249.022491
06/26/16_09:13:42, 0.000000, 0.000000, -249.022491
06/26/16_09:13:43, 0.000000, 0.000000, -249.022491
06/26/16_09:13:45, 0.000000, 0.000000, -249.022491
06/26/16_09:13:46, 0.000000, 0.000000, -249.022491
06/26/16_09:13:48, 0.000000, 0.000000, -249.022491
06/26/16_09:13:50, 0.000000, 0.000000, -249.022491
06/26/16_09:13:51, 0.000000, 0.000000, -250.000000
06/26/16_09:13:53, 0.000000, 0.000000, -249.022491
06/26/16_09:13:55, 0.000000, 0.000000, -250.000000
06/26/16_09:13:57, 0.000000, 0.000000, -249.022491
06/26/16_09:13:58, 0.000000, 0.000000, -250.000000
06/26/16_09:14:00, 0.000188, 0.000000, -250.000000
06/26/16_09:14:02, 0.000000, 0.000000, -250.000000
06/26/16_09:14:03, 0.000000, 0.000000, -250.000000
06/26/16_09:14:05, 0.000000, 0.000000, -250.000000
06/26/16_09:14:07, 0.000000, 0.000000, -250.000000
06/26/16_09:14:09, 0.000000, 0.000000, -249.022491
06/26/16_09:14:10, 0.000000, 0.000000, -250.000000
06/26/16_09:14:12, 0.000000, 0.000000, -250.000000
06/26/16_09:14:13, 0.000000, 0.000000, -250.000000
06/26/16_09:14:15, 0.000000, 0.000000, -250.000000
06/26/16_09:14:16, 0.000000, 0.000000, -250.000000
06/26/16_09:14:18, 0.000000, 0.000000, -250.000000
06/26/16_09:14:20, 0.000000, 0.000000, -250.000000
06/26/16_09:14:21, 0.000000, 0.000000, -250.000000
