Event,Time,,
Background,6/26/16 11:47:00,,
Ignition Smoke Barrells,6/26/16 11:52:00,0:05:00,
Ignition Rear Room,6/26/16 11:58:00,0:11:00,0:06:00
Ignition Front Room,6/26/16 11:59:10,0:12:10,0:07:10
Student Dispatch,6/26/16 12:01:20,0:14:20,0:09:20
Student Arrival,6/26/16 12:03:25,0:16:25,0:11:25
Entry,6/26/16 12:06:48,0:19:48,0:14:48
Victim 1 Out,6/26/16 12:14:27,0:27:27,0:22:27
Exit Building,6/26/16 12:15:35,0:28:35,0:23:35
Students to Research,6/26/16 12:17:20,0:30:20,0:25:20
End Experiment,6/26/16 12:22:00,0:35:00,0:30:00
