Time, HF1, HF2, TC1
06/27/16_08:57:11, 0.000000, 0.000000, 21.749759
06/27/16_08:57:13, 0.000000, 0.000000, 20.772243
06/27/16_08:57:15, 0.000000, 0.000000, 21.749759
06/27/16_08:57:16, 0.000000, 0.000000, 21.749759
06/27/16_08:57:18, 0.000000, 0.000000, 22.727275
06/27/16_08:57:19, 0.000000, 0.000000, 21.749759
06/27/16_08:57:21, 0.000000, 0.000000, 21.749759
06/27/16_08:57:22, 0.000000, 0.000000, 21.749759
06/27/16_08:57:24, 0.000000, 0.000000, 22.727275
06/27/16_08:57:25, 0.000000, 0.000000, 22.727275
06/27/16_08:57:27, 0.000000, 0.000000, 21.749759
06/27/16_08:57:28, 0.000000, 0.000000, 22.727275
06/27/16_08:57:30, 0.000000, 0.000000, 22.727275
06/27/16_08:57:32, 0.000188, 0.000000, 21.749759
06/27/16_08:57:33, 0.000000, 0.000000, 21.749759
06/27/16_08:57:35, 0.000000, 0.000000, 21.749759
06/27/16_08:57:36, 0.000000, 0.000000, 21.749759
06/27/16_08:57:38, 0.000000, 0.000000, 21.749759
06/27/16_08:57:39, 0.000000, 0.000000, 20.772243
06/27/16_08:57:41, 0.000000, 0.000000, 21.749759
06/27/16_08:57:43, 0.000000, 0.000000, 21.749759
06/27/16_08:57:44, 0.000000, 0.000000, 21.749759
06/27/16_08:57:45, 0.000000, 0.000000, 21.749759
06/27/16_08:57:47, 0.000000, 0.000000, 21.749759
06/27/16_08:57:49, 0.000000, 0.000000, 21.749759
06/27/16_08:57:50, 0.000000, 0.000000, 21.749759
06/27/16_08:57:52, 0.000000, 0.000000, 21.749759
06/27/16_08:57:53, 0.000000, 0.000000, 21.749759
06/27/16_08:57:55, 0.000000, 0.000000, 21.749759
06/27/16_08:57:56, 0.000000, 0.000000, 21.749759
06/27/16_08:57:58, 0.000000, 0.000000, 21.749759
06/27/16_08:57:59, 0.000000, 0.000000, 21.749759
06/27/16_08:58:01, 0.000000, 0.000000, 21.749759
06/27/16_08:58:02, 0.000000, 0.000000, 21.749759
06/27/16_08:58:04, 0.000000, 0.000000, 21.749759
