Event,Time,From Background,From Ignition
Background,6/27/16 9:04:00,,
Ignition Smoke Barrells,6/27/16 9:07:11,0:03:11,0:00:00
Ignition Rooms,6/27/16 9:16:11,0:12:11,0:09:00
Student Arrival,6/27/16 9:18:46,0:14:46,0:11:35
Entry,6/27/16 9:20:49,0:16:49,0:13:38
Victim 1 Out,6/27/16 9:21:53,0:17:53,0:14:42
Victim 2 Out,6/27/16 9:26:35,0:22:35,0:19:24
Students Exit,6/27/16 9:28:51,0:24:51,0:21:40
Students to Research,6/27/16 9:30:41,0:26:41,0:23:30
End of Experiment,6/27/16 9:35:11,0:31:11,0:28:00
