Time, HF1, HF2, TC1
06/27/16_08:54:47, 0.000000, 0.000000, 22.727275
06/27/16_08:54:48, 0.000000, 0.000000, 21.749759
06/27/16_08:54:50, 0.000000, 0.000000, 21.749759
06/27/16_08:54:51, 0.000000, 0.000000, 23.704792
06/27/16_08:54:53, 0.000000, 0.000000, 21.749759
06/27/16_08:54:54, 0.000000, 0.000000, 21.749759
06/27/16_08:54:56, 0.000000, 0.000000, 21.749759
06/27/16_08:54:57, 0.000000, 0.000000, 22.727275
06/27/16_08:54:59, 0.000000, 0.000000, 21.749759
06/27/16_08:55:00, 0.000000, 0.000000, 22.727275
06/27/16_08:55:02, 0.000000, 0.000000, 21.749759
06/27/16_08:55:04, 0.000000, 0.000000, 21.749759
06/27/16_08:55:05, 0.000000, 0.000000, 21.749759
06/27/16_08:55:07, 0.000000, 0.000000, 21.749759
06/27/16_08:55:09, 0.000000, 0.000000, 21.749759
06/27/16_08:55:10, 0.000000, 0.000000, 23.704792
06/27/16_08:55:12, 0.000000, 0.000000, 21.749759
06/27/16_08:55:13, 0.000000, 0.000000, 22.727275
06/27/16_08:55:15, 0.000000, 0.000000, 22.727275
06/27/16_08:55:16, 0.000000, 0.000000, 22.727275
06/27/16_08:55:18, 0.000000, 0.000000, 21.749759
06/27/16_08:55:19, 0.000000, 0.000000, 22.727275
06/27/16_08:55:21, 0.000000, 0.000000, 21.749759
06/27/16_08:55:22, 0.000000, 0.000000, 21.749759
06/27/16_08:55:24, 0.000000, 0.000000, 21.749759
06/27/16_08:55:25, 0.000000, 0.000000, 21.749759
06/27/16_08:55:27, 0.000000, 0.000000, 21.749759
06/27/16_08:55:29, 0.000000, 0.000000, 22.727275
06/27/16_08:55:30, 0.000000, 0.000000, 21.749759
06/27/16_08:55:32, 0.000000, 0.000000, 21.749759
06/27/16_08:55:33, 0.000000, 0.000000, 21.749759
06/27/16_08:55:35, 0.000000, 0.000000, 23.704792
06/27/16_08:55:36, 0.000000, 0.000000, 21.749759
06/27/16_08:55:38, 0.000000, 0.000000, 19.794727
06/27/16_08:55:39, 0.000000, 0.000000, 21.749759
06/27/16_08:55:41, 0.000000, 0.000000, 21.749759
06/27/16_08:55:42, 0.000000, 0.000000, 21.749759
06/27/16_08:55:44, 0.000000, 0.000000, 20.772243
06/27/16_08:55:45, 0.000000, 0.000000, 20.772243
06/27/16_08:55:47, 0.000000, 0.000000, 21.749759
06/27/16_08:55:49, 0.000000, 0.000000, 20.772243
06/27/16_08:55:50, 0.000000, 0.000000, 21.749759
06/27/16_08:55:52, 0.000000, 0.000000, 20.772243
06/27/16_08:55:53, 0.000000, 0.000000, 21.749759
