Time, HF1, HF2, TC1
06/27/16_11:01:24, 0.000000, 0.000000, 312.072326
06/27/16_11:01:25, 0.000000, 0.000000, 335.532775
06/27/16_11:01:27, 0.000000, 0.000000, 391.251251
06/27/16_11:01:28, 0.000000, 0.000000, 398.093841
06/27/16_11:01:30, 0.000000, 0.000000, 358.015655
06/27/16_11:01:31, 0.000000, 0.000000, 391.251251
06/27/16_11:01:33, 0.000000, 0.000000, 385.386138
06/27/16_11:01:35, 0.000000, 0.000000, 380.498565
06/27/16_11:01:36, 0.000000, 0.000000, 355.083099
06/27/16_11:01:38, 0.000000, 0.000000, 356.060607
06/27/16_11:01:39, 0.000000, 0.000000, 329.667663
06/27/16_11:01:41, 0.000000, 0.000000, 314.027374
06/27/16_11:01:42, 0.000000, 0.000000, 312.072326
06/27/16_11:01:44, 0.000000, 0.000000, 315.004882
06/27/16_11:01:46, 0.000000, 0.000000, 308.162261
06/27/16_11:01:47, 0.000000, 0.000000, 294.477050
06/27/16_11:01:49, 0.000000, 0.000000, 313.049835
06/27/16_11:01:50, 0.000000, 0.000000, 288.611938
06/27/16_11:01:52, 0.000000, 0.000000, 289.589447
06/27/16_11:01:53, 0.000000, 0.000000, 274.926666
06/27/16_11:01:55, 0.000000, 0.000000, 268.084045
06/27/16_11:01:56, 0.000000, 0.000000, 266.129028
06/27/16_11:01:58, 0.000000, 0.000000, 255.376342
06/27/16_11:01:59, 0.000000, 0.000000, 255.376342
06/27/16_11:02:01, 0.000000, 0.000000, 261.241455
06/27/16_11:02:02, 0.000000, 0.000000, 240.713607
06/27/16_11:02:04, 0.000000, 0.000000, 236.803543
06/27/16_11:02:05, 0.000000, 0.000000, 254.398834
06/27/16_11:02:07, 0.000000, 0.000000, 251.466278
06/27/16_11:02:08, 0.000000, 0.000000, 248.533737
06/27/16_11:02:10, 0.000000, 0.000000, 285.679382
06/27/16_11:02:11, 0.000000, 0.000000, 246.578704
06/27/16_11:02:13, 0.000000, 0.000000, 253.421310
06/27/16_11:02:14, 0.000000, 0.000000, 264.173980
06/27/16_11:02:16, 0.000000, 0.000000, 255.376342
06/27/16_11:02:17, 0.000000, 0.000000, 242.668640
06/27/16_11:02:19, 0.000000, 0.000000, 317.937438
06/27/16_11:02:20, 0.000000, 0.000000, 268.084045
06/27/16_11:02:22, 0.000000, 0.000000, 252.443801
06/27/16_11:02:23, 0.000000, 0.000000, 238.758575
06/27/16_11:02:25, 0.000000, 0.000000, 221.163223
06/27/16_11:02:26, 0.000000, 0.000000, 222.140747
06/27/16_11:02:28, 0.000000, 0.000000, 213.343093
06/27/16_11:02:29, 0.000000, 0.000000, 211.388061
06/27/16_11:02:31, 0.000000, 0.000000, 239.736083
06/27/16_11:02:33, 0.000000, 0.000000, 227.028381
06/27/16_11:02:34, 0.000000, 0.000000, 215.298126
06/27/16_11:02:36, 0.000000, 0.000000, 211.388061
06/27/16_11:02:37, 0.000000, 0.000000, 211.388061
06/27/16_11:02:39, 0.000000, 0.000000, 202.590423
06/27/16_11:02:40, 0.000000, 0.000000, 208.455520
06/27/16_11:02:42, 0.000000, 0.000000, 204.545455
06/27/16_11:02:43, 0.000000, 0.000000, 199.657867
06/27/16_11:02:45, 0.000000, 0.000000, 190.860229
06/27/16_11:02:47, 0.000000, 0.000000, 184.995132
06/27/16_11:02:48, 0.000000, 0.000000, 184.995132
06/27/16_11:02:50, 0.000000, 0.000000, 182.062576
06/27/16_11:02:51, 0.000000, 0.000000, 182.062576
06/27/16_11:02:53, 0.000000, 0.000000, 204.545455
06/27/16_11:02:54, 0.000000, 0.000000, 192.815261
06/27/16_11:02:56, 0.000000, 0.000000, 197.702835
06/27/16_11:02:58, 0.000000, 0.000000, 227.028381
06/27/16_11:02:59, 0.000000, 0.000000, 220.185714
06/27/16_11:03:01, 0.000000, 0.000000, 209.433029
06/27/16_11:03:03, 0.000000, 0.000000, 214.320617
06/27/16_11:03:04, 0.000000, 0.000000, 230.938446
06/27/16_11:03:06, 0.000000, 0.000000, 225.073287
06/27/16_11:03:07, 0.000000, 0.000000, 219.208190
06/27/16_11:03:09, 0.000000, 0.000000, 222.140747
06/27/16_11:03:10, 0.000000, 0.000000, 222.140747
06/27/16_11:03:12, 0.000000, 0.000000, 215.298126
06/27/16_11:03:14, 0.000000, 0.000000, 205.522964
06/27/16_11:03:15, 0.000000, 0.000000, 195.747802
06/27/16_11:03:17, 0.000000, 0.000000, 188.905197
06/27/16_11:03:18, 0.000000, 0.000000, 180.107543
06/27/16_11:03:20, 0.000000, 0.000000, 174.242401
06/27/16_11:03:21, 0.000000, 0.000000, 180.107543
06/27/16_11:03:23, 0.000000, 0.000000, 175.219924
06/27/16_11:03:25, 0.000000, 0.000000, 221.163223
06/27/16_11:03:26, 0.000000, 0.000000, 223.118255
06/27/16_11:03:28, 0.000000, 0.000000, 231.915954
06/27/16_11:03:29, 0.000000, 0.000000, 207.477996
06/27/16_11:03:31, 0.000000, 0.000000, 223.118255
06/27/16_11:03:32, 0.000000, 0.000000, 215.298126
06/27/16_11:03:34, 0.000000, 0.000000, 216.275650
06/27/16_11:03:35, 0.000000, 0.000000, 211.388061
06/27/16_11:03:37, 0.000000, 0.000000, 205.522964
06/27/16_11:03:38, 0.000000, 0.000000, 208.455520
06/27/16_11:03:40, 0.000000, 0.000000, 206.500488
06/27/16_11:03:41, 0.000000, 0.000000, 206.500488
06/27/16_11:03:43, 0.000000, 0.000000, 210.410552
06/27/16_11:03:45, 0.000000, 0.000000, 734.359741
06/27/16_11:03:46, 0.000000, 0.000000, 736.314819
06/27/16_11:03:48, 0.000000, 0.000000, 736.314819
06/27/16_11:03:49, 0.000000, 0.000000, 737.292297
06/27/16_11:03:51, 0.000000, 0.000000, 737.292297
06/27/16_11:03:53, 0.000000, 0.000000, 737.292297
06/27/16_11:03:54, 0.000000, 0.000000, 737.292297
06/27/16_11:03:55, 0.000000, 0.000000, 737.292297
06/27/16_11:03:57, 0.000000, 0.000000, 737.292297
06/27/16_11:03:59, 0.000000, 0.000000, 737.292297
06/27/16_11:04:00, 0.000000, 0.000000, 737.292297
06/27/16_11:04:02, 0.000000, 0.000000, 737.292297
06/27/16_11:04:03, 0.000000, 0.000000, 738.269836
06/27/16_11:04:05, 0.000000, 0.000000, 737.292297
06/27/16_11:04:07, 0.000000, 0.000000, 738.269836
06/27/16_11:04:08, 0.000000, 0.000000, 737.292297
06/27/16_11:04:10, 0.000000, 0.000000, 737.292297
06/27/16_11:04:11, 0.000000, 0.000000, 737.292297
06/27/16_11:04:13, 0.000000, 0.000000, 737.292297
06/27/16_11:04:14, 0.000000, 0.000000, 737.292297
06/27/16_11:04:16, 0.000000, 0.000000, 204.545455
06/27/16_11:04:17, 0.000000, 0.000000, 194.770294
06/27/16_11:04:19, 0.000000, 0.000000, 191.837738
06/27/16_11:04:20, 0.000000, 0.000188, 197.702835
06/27/16_11:04:22, 0.000000, 0.000000, 182.062576
06/27/16_11:04:24, 0.000000, 0.000000, 178.152511
